Article,views
Vincent van Gogh,3171842
John Hurt,3169576
Bob Ross,3168472
Mark Cuban,3166134
Death of Caylee Anthony,3165728
Google Translate,3163717
Batman,3162551
Srinivasa Ramanujan,3161367
Black Death,3161312
Brigitte Macron,3161148
The Chainsmokers,3157396
Fargo (TV series),3154175
Tiger Zinda Hai,3153533
NATO,3149744
Bright (film),3149615
Lin-Manuel Miranda,3149281
Cate Blanchett,3148383
Hurricane Irma,3148123
Dick Van Dyke,3146636
Kevin Hart,3146526
Ireland,3146489
Masturbation,3145058
Sri Lanka,3143073
Nicolas Cage,3139973
Malcolm X,3137632
Jerusalem,3135109
Dab (dance),3132538
David Beckham,3132053
Jessica Biel,3130156
Avril Lavigne,3130041
Al Capone,3128956
Suge Knight,3127153
Education,3125245
Louis XIV of France,3121627
DC Universe Animated Original Movies,3119685
Canelo Álvarez,3119213
"Joaqu??n ""El Chapo"" Guzm??n",3117577
WWE,3116887
Anne Hathaway,3115699
List of Better Call Saul episodes,3112854
Mona Lisa,3110338
Daniel Craig,3106921
Marlon Brando,3106722
Sarah Paulson,3104387
Islam,3103613
Maldives,3102105
Michelle Obama,3097428
Nazi Germany,3095374
Chris Kyle,3094015
Dog,3093290
Josh Brolin,3093089
Poland,3088934
Romelu Lukaku,3088469
Samuel L. Jackson,3088410
Europe,3086018
2016 in film,3085566
Egypt,3084665
Gerald Ford,3083091
Blake Shelton,3079615
Lil Wayne,3079315
Pretty Little Liars,3075916
Nikki Bella,3074988
Ric Flair,3074436
Your Name,3073612
Solar System,3073608
Justin Theroux,3073290
Mark Hamill,3071076
Transformers (film series),3070954
Drew Barrymore,3069741
Cryptocurrency,3067457
Kirk Douglas,3066898
Frida Kahlo,3066632
Shailene Woodley,3065586
Diana Ross,3060222
Rooney Mara,3056235
Pneumonia,3055531
Melissa McCarthy,3055262
Atomic Blonde,3054170
Cat,3052782
Tiger Woods,3052710
Elton John,3051305
Star Wars (film),3049588
Gianni Versace,3046426
Metallica,3045507
Fentanyl,3045414
"Antony Armstrong-Jones, 1st Earl of Snowdon",3043198
Super Bowl,3039446
The Leftovers (TV series),3035755
Big Little Lies (TV series),3035738
2018 FIFA World Cup qualification (UEFA),3035736
Venus Williams,3034213
Zoë Kravitz,3033079
Miguel Ferrer,3026541
Natalia Dyer,3026462
It's Always Sunny in Philadelphia,3023426
Ben Shapiro,3022583
John Wayne,3021926
Dan Bilzerian,3021275
Amy Winehouse,3020822
Liverpool F.C.,3019298
Vagina,3019194
IPhone,3018073
King Arthur,3016260
Matt Lauer,3015764
Nigeria,3013833
Game of Thrones (season 1),3012329
Jack Nicholson,3011626
Calculator,3010001
Narcissistic personality disorder,3008878
Benjamin Franklin,3006201
Anthony Eden,3004490
Jennifer Hudson,3002715
The Vampire Diaries (season 8),3002412
Sharon Tate,3001578
The Accountant (2016 film),3000674
Modern Family,3000224
"Prince Edward, Earl of Wessex",3000028
Andrew Jackson,2999702
Elizabeth Taylor,2998292
Lorde,2995899
Bipolar disorder,2995483
Karl Marx,2994349
Resident Evil: The Final Chapter,2994104
Jessica Alba,2993787
Michael Sheen,2993647
Academy Awards,2993283
Rooting (Android OS),2991162
Aubrey Plaza,2989456
Rachel Weisz,2989291
Debbie Reynolds,2989216
Naomi Watts,2988392
Roy Moore,2986420
List of James Bond films,2984724
Eazy-E,2982389
Gautama Buddha,2977842
Jack the Ripper,2977671
Denmark,2976974
Rashida Jones,2976722
Daisy Ridley,2974642
Manchester City F.C.,2972114
Big Brother 19 (U.S.),2971515
The Bahamas,2969187
Agents of S.H.I.E.L.D.,2967421
Emma Roberts,2964871
Inhumans (TV series),2964219
Logan Paul,2964064
SummerSlam (2017),2962149
Felicity Jones,2961229
The Lord of the Rings (film series),2960808
List of countries by GDP (PPP) per capita,2956273
John Wayne Gacy,2955897
Vinod Khanna,2953069
M. Night Shyamalan,2951127
The Comedian (2016 film),2948375
Golden State Warriors,2947060
The Last Kingdom (TV series),2946691
Jessica Jones,2946254
Michelle Pfeiffer,2946049
Criminal Minds,2944867
Roman Empire,2944410
Global warming,2938457
Angela Merkel,2935206
Pansexuality,2934283
Kazakhstan,2933465
Morocco,2931889
Dragon Ball Super,2931675
Laura Dern,2928187
Prussia,2924358
Finn Wolfhard,2923623
2017 NFL Draft,2922459
The Lego Batman Movie,2922336
Laura Prepon,2921762
The Dark Tower (series),2921337
Georgia (country),2921274
Megan Fox,2919767
Daniel Day-Lewis,2915872
French Revolution,2910824
Order of the British Empire,2909966
Anne Frank,2908048
List of Bollywood films of 2016,2904246
Chris Brown,2903731
Wolverine (character),2903654
The Emoji Movie,2902347
"""European Society for Clinical Investigation""",2901845
The Circle (2017 film),2901023
Valentine's Day,2900736
Manny Pacquiao,2900217
Robert Mugabe,2899396
Mauritius,2898602
Autonomous sensory meridian response,2897103
Underworld (film series),2893959
Alessia Cara,2892557
Artificial intelligence,2887079
Homeland (TV series),2885356
George III of the United Kingdom,2883916
Pablo Picasso,2880992
Samantha Ruth Prabhu,2879800
The Simpsons,2878885
Bonnie and Clyde,2876763
Dave Bautista,2875418
Are You the One?,2874703
Area 51,2873417
Pierce Brosnan,2871640
